The latest field of users and shells
User					Home Directory					Shell
----					--------------					-----
root					/root					/bin/bash
daemon					/usr/sbin					/usr/sbin/nologin
bin					/bin					/usr/sbin/nologin
sys					/dev					/usr/sbin/nologin
sync					/bin					/bin/sync
games					/usr/games					/usr/sbin/nologin
man					/var/cache/man					/usr/sbin/nologin
lp					/var/spool/lpd					/usr/sbin/nologin
mail					/var/mail					/usr/sbin/nologin
news					/var/spool/news					/usr/sbin/nologin
uucp					/var/spool/uucp					/usr/sbin/nologin
proxy					/bin					/usr/sbin/nologin
www-data					/var/www					/usr/sbin/nologin
backup					/var/backups					/usr/sbin/nologin
list					/var/list					/usr/sbin/nologin
irc					/run/ircd					/usr/sbin/nologin
gnats					/var/lib/gnats					/usr/sbin/nologin
nobody					/nonexistent					/usr/sbin/nologin
systemd-network					/run/systemd					/usr/sbin/nologin
systemd-resolve					/run/systemd					/usr/sbin/nologin
messagebus					/nonexistent					/usr/sbin/nologin
systemd-timesync					/run/systemd					/usr/sbin/nologin
syslog					/home/syslog					/usr/sbin/nologin
_apt					/nonexistent					/usr/sbin/nologin
_chrony					/var/lib/chrony					/usr/sbin/nologin
nm-openvpn					/var/lib/openvpn/chroot					/usr/sbin/nologin
colord					/var/lib/colord					/usr/sbin/nologin
speech-dispatcher					/run/speech-dispatcher					/bin/false
geoclue					/var/lib/geoclue					/usr/sbin/nologin
gdm					/var/lib/gdm3					/bin/false
gnome-initial-setup					/run/gnome-initial-setup/					/bin/false
tss					/var/lib/tpm					/bin/false
tcpdump					/nonexistent					/usr/sbin/nologin
rtkit					/proc					/usr/sbin/nologin
whoopsie					/nonexistent					/bin/false
usbmux					/var/lib/usbmux					/usr/sbin/nologin
cups-pk-helper					/home/cups-pk-helper					/usr/sbin/nologin
avahi-autoipd					/var/lib/avahi-autoipd					/usr/sbin/nologin
_flatpak					/nonexistent					/usr/sbin/nologin
saned					/var/lib/saned					/usr/sbin/nologin
dnsmasq					/var/lib/misc					/usr/sbin/nologin
avahi					/run/avahi-daemon					/usr/sbin/nologin
fwupd-refresh					/run/systemd					/usr/sbin/nologin
uuidd					/run/uuidd					/usr/sbin/nologin
dagmawi					/home/dagmawi					/bin/bash
postgres					/opt/ManageEngine/OpManager/pgsql					/bin/sh
This is the conclusion
